cluster 14 : 543
cluster 15 : 462
cluster 16 : 284
cluster 17 : 366
cluster 18 : 322
cluster 19 : 1947
cluster 20 : 366
cluster 21 : 392
cluster 22 : 457
cluster 23 : 626
cluster 24 : 407
cluster 25 : 122
cluster 26 : 327
cluster 27 : 776
cluster 28 : 207
cluster 29 : 201
cluster 30 : 263
cluster 31 : 131
cluster 32 : 313
distortion : 2.36989
Iteration : 11
cluster 1 : 477
cluster 2 : 256
cluster 3 : 1794
cluster 4 : 376
cluster 5 : 637
cluster 6 : 292
cluster 7 : 511
cluster 8 : 327
cluster 9 : 228
cluster 10 : 140
cluster 11 : 473
cluster 12 : 822
cluster 13 : 339
cluster 14 : 543
cluster 15 : 462
cluster 16 : 302
cluster 17 : 363
cluster 18 : 320
cluster 19 : 1953
cluster 20 : 356
cluster 21 : 393
cluster 22 : 460
cluster 23 : 627
cluster 24 : 411
cluster 25 : 124
cluster 26 : 346
cluster 27 : 775
cluster 28 : 207
cluster 29 : 201
cluster 30 : 262
cluster 31 : 131
cluster 32 : 312
distortion : 2.36899
