cluster 14 : 988
cluster 15 : 702
cluster 16 : 201
cluster 17 : 555
cluster 18 : 151
cluster 19 : 472
cluster 20 : 186
cluster 21 : 684
cluster 22 : 176
cluster 23 : 1135
cluster 24 : 380
cluster 25 : 387
cluster 26 : 592
cluster 27 : 759
cluster 28 : 224
cluster 29 : 163
cluster 30 : 206
cluster 31 : 1012
cluster 32 : 312
distortion : 2.46829
Iteration : 11
cluster 1 : 259
cluster 2 : 503
cluster 3 : 752
cluster 4 : 547
cluster 5 : 328
cluster 6 : 502
cluster 7 : 225
cluster 8 : 488
cluster 9 : 710
cluster 10 : 326
cluster 11 : 145
cluster 12 : 796
cluster 13 : 343
cluster 14 : 988
cluster 15 : 702
cluster 16 : 199
cluster 17 : 550
cluster 18 : 147
cluster 19 : 472
cluster 20 : 193
cluster 21 : 696
cluster 22 : 176
cluster 23 : 1135
cluster 24 : 382
cluster 25 : 387
cluster 26 : 592
cluster 27 : 758
cluster 28 : 223
cluster 29 : 168
cluster 30 : 207
cluster 31 : 1012
cluster 32 : 309
distortion : 2.46693
Iteration : 12
cluster 1 : 260
cluster 2 : 502
cluster 3 : 758
cluster 4 : 549
cluster 5 : 333
cluster 6 : 484
cluster 7 : 232
cluster 8 : 491
cluster 9 : 710
cluster 10 : 311
cluster 11 : 147
cluster 12 : 794
cluster 13 : 344
cluster 14 : 988
cluster 15 : 705
cluster 16 : 195
cluster 17 : 537
cluster 18 : 147
cluster 19 : 472
cluster 20 : 199
cluster 21 : 698
cluster 22 : 177
cluster 23 : 1135
cluster 24 : 382
cluster 25 : 387
cluster 26 : 592
cluster 27 : 767
cluster 28 : 226
cluster 29 : 172
cluster 30 : 207
cluster 31 : 1012
cluster 32 : 307
distortion : 2.46595
